country,attraction,score,review,trip_date
Ireland,Jameson Distillery Bow St.,5.0,"The Jameson Experience started as soon as we were entering the Distillery. We loved the interior how they managed old with new elements. Because we came a little earlier we enjoyed the included drinks before the tour and were even allowed to bring them with out on the tour - so no rush and need to finish them quickly!
The tour itself is very informativ; the history and making of Jamesons is presented in a multimedial way. Due to our highly entertaining guide Cilian it really was an experience. The tasting at the end felt as a little game/quiz show - we liked it a lot!
What a pity, we could not tip him by card!
Read more",Oct 2021
Ireland,Jameson Distillery Bow St.,3.0,"Venue and bar options were great. Bar man on arrival was friendly and made 2 banging cocktails. We weren't directed where to go for the tour on arrival , meaning we were made to run downstairs to check in when the tour was about to start. The tour itself was very insightful but Erin the tour guide was very impatient and frequently said it was her last tour of the day , meaning she rushed through it and didn't allow people to enjoy or ask questions. Felt like being at school being told off by a teacher. Delivery very robotic and not engaging as it could have been. After the tour ended we went to get our free jamesons drink at the grog bar and when we engaged in conversation with the bar man he replied with 'I should have been home 30 minutes ago' , again making us feel unwelcome. I wanted to buy quite alot of merchandise from the shop , when I returned from the toilet after the tour the shop was closed and the bar too. We were not informed of this on arrival or by the tour guide. Pretty disappointing .
Read more",Oct 2021
Ireland,Jameson Distillery Bow St.,5.0,"The cocktail making class was fantastic. We made a couple drinks and had a great time learning a little about Jameson. This place is 1,000 better than Guinness. After your tour or class you can enjoy some Jameson at the bar. I highly recommend doing this and skipping Guinness.",Oct 2021
Ireland,Jameson Distillery Bow St.,5.0,We chose the cocktail making class at Jameson Distillery and absolutely loved the small group experience. We made three different cocktails and were able to stay in the bar for an extra 1.5 hours after the one hour formal class. Our teacher was so knowledgeable and fun to be around! We also enjoyed getting to know the other couples in class with us. This was a unique and fun way to learn about whiskey and Jameson!,Oct 2021
Ireland,Jameson Distillery Bow St.,5.0,"We had the best time in Jameson's Distillery. It was a perfect present for my hubby's birthday. Kayleigh who was a guide for our tour was excellent, fun and told the story perfectly. Very knowledgeable and interesting.
Later on we did the cocktail masterclass with Ciaran who is absolutely nuts and we had an absolute blast! And we loved every second of it. All the staff members were friendly and made our tour very enjoyable. Definitely coming back to bring more friends to enjoy this fun expirience. Thank you",Oct 2021
Ireland,Jameson Distillery Bow St.,5.0,"Kaylie was very funny and great tour guide
Lots of good information
Great bar too
Great bartender and cocktail",Oct 2021
Ireland,Jameson Distillery Bow St.,4.0,the tour guide does it only in english with irish accent not always obvious for foreigners. but it was interesting and very well done,Sep 2021
Ireland,Jameson Distillery Bow St.,4.0,"The tour was interesting, quite short, but each of the 3 rooms offered something interesting. Liked the fact that you get to taste 3 types of whiskey, would have liked 2-3 extra minutes though to sip them. You get a free drink at the end, but they also have cocktails should you wish to spend some more time there, as it's a nice bar.

Overall we enjoyed it and would recommend it, but if you can choose only one tour for alcoholic beverages in Dublin, I'd go for the Guinness one.",Oct 2021
Ireland,Jameson Distillery Bow St.,3.0,Even though we knew the original distillery was closed and moved to Cork we thought that the location would be more representative of an old distillery and offer more insight into the workings of a distillery. It was mostly a bar with a store. The tour was below average in my opinion and rather costly (I've been to others). I will say the staff was quite helpful and courteous.,Sep 2021
Ireland,Jameson Distillery Bow St.,5.0,"Jameson's whisky is smoother because it's triple distilled. Scotch whisky has a peaty taste, whereas Jameson's is very smooth and pure. Scotch, if you do a compatative tasting, tastes a bit like cardboard compared to Irish whiskey. The Bow St Distillery is a good place for a tasting, but the whiskey is distilled in County Cork.",Jul 2021
