country,attraction,score,review,trip_date
France,Musée d'Orsay,5.0,"Every time I am in Paris, I visit it. I like all their exhibitions what they change. I take my 1,5 hours on new exhibition and 30 min to look on my impressionists highlights.

It is more customer friendly and has more air than the Lovre.",Nov 2021
France,Musée d'Orsay,5.0,"I like the Orsay better than the Louvre, which to me is not worth all the hype. This temporary exhibition was well worth seeing.",Nov 2021
France,Musée d'Orsay,5.0,"Don't use up your lifetime without having visited this amazing building. It's architecture is breathtaking, a repurposed train station. Whether you know art or not, you'll recognize many, many pieces in their amazing collection.",Oct 2021
France,Musée d'Orsay,5.0,"A wonder to see all this famous art like Monet, Degas, Van Gogh . Get a ticket in advance and with the timeslots due to,covid you don’t have to wait in line. Very easy and well organized.",Nov 2021
France,Musée d'Orsay,5.0,"The Orsay is a wonderful museum in a beautiful old train station on the Seine. It has a light, bright calm feeling where you can enjoy the art. The Impressionist collection is the star. I suggest to start on the top floor (by the giant clock face) and work your way down). It's great to go on Thursday evenings when they are open until 9:45pm and there are less people. The audio tour was a small extra fee and had good info (plus an augmented realty view of the train station through history). Buy your tickets in advance from the museum's OFFICIAL website (others will charge you more).",Oct 2021
France,Musée d'Orsay,5.0,"It was unfortunately a short visit, but it was very interesting to see such famous paintings and sculptures as well.",Oct 2021
France,Musée d'Orsay,4.0,"very nice very beautiful, i am so happy, very clean place very nice very beautiful, very nice very beautiful, i am so happy, very clean place",Aug 2021
France,Musée d'Orsay,5.0,"This was my favorite museum in Paris. I loved seeing my favorite impressionists—Monet, Van Gogh, Manet, Degas, and more. The lines were no where near what the Louvre was around the Mona Lisa and Venus de Milo, and being able to see some of the most famous works of art up close was just an unforgettable experience.",Oct 2021
France,Musée d'Orsay,5.0,I had a wonderful experience! It is a mecca of the impressionist and 19th century art. The building is stunning! I recommend getting the audio tour to learn about unique history and lives of these artists,Sep 2021
France,Musée d'Orsay,5.0,"This museum is a must visit. From its stunning history as an old railway station, the exquisite sculptures inside not to mention the Van Gogh pieces on the top floor. It is a sight to behold, the building itself and the items it holds. It was a wow moment.",Oct 2021
France,Musée d'Orsay,5.0,"Amazing experience throughout, clean and conscious
Very friendly staff, Very easy to walk through, super clean restrooms, and the most important, so much art and history",Oct 2021
France,Musée d'Orsay,5.0,"I was a little bit skeptical of this museum since i am not a big impressionist fan. I was wrong. This is a fabulous museum. It's really big so if you have limited time focus on the masters - Van goth, Monet, Renior etc,.. When we were there they had most of their paintings on the 5th floor but there was also a special exhibit on the first floor with some really cool stuff as well. Van Goth's Starry Night alone is worth the price of admission.
Go early - we had skip the line tickets for 9:30 am on Sunday and the crowd was light. By the tome we left around 1 the museum was pretty full.
This a do not miss place in Paris.
Read more",Oct 2021
France,Musée d'Orsay,5.0,"Treasures bring tears to my eyes. Renoir’s Moulin de La Galette is my favorite on the fifth floor along with other impressionist masters, There are many gorgeous museums in Paris, but this one cannot be missed.",Oct 2021
France,Musée d'Orsay,1.0,"We had three days in Paris and this was the top of our list. We booked our tickets in advance and had all the necessary paperwork. However our 14 yr old daughter was denied entry on the basis her Covid test was taken in the U.K not in France, despite it stating it was recognised in the EU and taken within the specified 72 hours. This was made all the more frustrating as we had queued for over an hour to get our paperwork checked.",Sep 2021
