country,attraction,score,review,trip_date
Portugal,Oceanário de Lisboa,5.0,"I'm not really a fan of aquariums and so, but this one was really interesting. Nicely built on 2 levels and a lot of information, suitable for both children and adults. A must if visiting Lisbon with kids.",Nov 2021
Portugal,Oceanário de Lisboa,5.0,"Located a short drive outside Lisbon proper, Oceanário is arguably the city's premier destination. Opened in 1998, the Oceanário was the centerpiece of a World Fair and remains committed to conservation above all.

Less ""cute"" than many modern aquariums, the focus on education over cartoons admirable, much of the space wraps around an enormous central tank featuring countless fish both common and novel. From Sun Fish to Sharks the space then expands to artistic aquascaping and theaters that outpace most.
Read more",Sep 2021
Portugal,Oceanário de Lisboa,5.0,We really enjoyed it here. The aquarium is so big and everyone there at that particular moment could see the fish and other creatures while keeping safe distance from each other. Well done and keep it up.,Oct 2021
Portugal,Oceanário de Lisboa,5.0,A wonderful way to spend 2 or 3 hours. We brought our 7 month old and he was mesmerised...I think. It's actually a really cool area around the Aquarium. Take the cable car to the Myriad Hotel.,Oct 2021
Portugal,Oceanário de Lisboa,4.0,"The Lisbon Oceanarium is a fun way to spend a couple of hours, especially if you're there with kids. They will love seeing the sharks and rays and other variety of fish, plus they have penguins and sea otters that love to put on a show in the water. We purchased the combo ticket that gave you entrance to the aquarium as well as the gondola ride overlooking the water and the city, this was a lot of fun to get a bird's eye view of the surrounding area. There is also a garden and a bunch of great restaurants just a short walk from the aquarium. You can take the gondola there too.",Oct 2021
Portugal,Oceanário de Lisboa,5.0,I have visited a few Aquarium's and this is one of the best. I would highly recommend when in Lisbon. Friendly staff and all is clearly marked. Sea Otters were my favorite.,Oct 2021
Portugal,Oceanário de Lisboa,5.0,Oh wow I have never been somewhere so interesting and have been waiting to go to here we loved it and will definitely go back as you need a few trips to see all.,Sep 2021
Portugal,Oceanário de Lisboa,4.0,"Lovely places to watch some fish. There's a lot to see here, but if you skip the movies and other information and just go to see the animals, you will probably be done in about an hour. If you watch the movies and the rest, you easily spend 2-3 hours here and it's a great value for your money.",Oct 2021
Portugal,Oceanário de Lisboa,5.0,"The large central tank is very impressive, good viewing options on all floor and all around the aquarium with lots of other exhibits to visit with educational exhibits too.",Oct 2021
Portugal,Oceanário de Lisboa,5.0,"We had heard this aquarium has been rated the best in the world several times - and we have to say, they're right. It was fantastic and we spent far more time there than expected - it was just so fantastic.",Sep 2021
Portugal,Oceanário de Lisboa,5.0,the biggest amazing aquarium of europe - you must see it - two lovely hours - 5.000.000 l of sea water - 12.000 fishes,Sep 2021
