country,attraction,score,review,trip_date
Poland,Krakow's Rynek Glowny Central Square,5.0,"The square is an amazing place - lined with dozens of excellent restaurants, it's simply a pleasure to enjoy a beverage and observe the surroundings. Carriage rides begin here as well as the many shops.
Read more",Oct 2021
Poland,Krakow's Rynek Glowny Central Square,5.0,"Great place to walk around and stop for coffee, beer, vodka. Live music in the evenings, English readily spoken.
Read more",Oct 2021
Poland,Krakow's Rynek Glowny Central Square,5.0,"That was insane experience to see these architecture. I can come back again to see this incredible place, thank you!
Read more",Nov 2021
Poland,Krakow's Rynek Glowny Central Square,4.0,"Still in its original state, the old town square in Krakow is beautiful. Yes it is touristic as well, but do not let that scare you off and the site is worth a visit.
Read more",Oct 2021
Poland,Krakow's Rynek Glowny Central Square,5.0,"Have to go upstairs to catch a taxi.. I do not speak Polish only English. Look for a younger person as about 95% of them speak English. A very nice young couple with 2 young children assisted in securing a cab.
Read more",Oct 2021
Poland,Krakow's Rynek Glowny Central Square,5.0,"Definetly worth a visit, but note that you do need to book the underground museum. The square is lovely and surrounded by cafes and bars. We were so lucky to sit in the sun enjoying a beer and vino. Also great to hear the trumpeter every hour, find out the legend about him on a free walking tour. Just a great place to chill and people watch and drink alcohol or coffee or soft drinks.
Read more",Oct 2021
Poland,Krakow's Rynek Glowny Central Square,5.0,"We’ve must have visited the main square over 50 times and we still don’t get sick of it.

The beautiful architecture perfectly compliments the busy yet peaceful atmosphere in the square.

Each hour of the day exposes it’s beauty in a different angle.

Simply a must see!
Read more",Oct 2021
Poland,Krakow's Rynek Glowny Central Square,5.0,"Well i was not expecting what I found when I turned the corner, stunning, loads of restaurants, bars, shops, the roads leading off the square had plenty off surprises.
Read more",Sep 2021
Poland,Krakow's Rynek Glowny Central Square,5.0,"This is everything we expected from Poland. The square is beautiful, large and full of life.

The buildings are ornate and elegant and amazing to look at during all different times of the day. There is always life there and things going on, no matter when you go.

You cannot avoid this area during your visit and you should definitely go to see the place too
Read more",Oct 2021
Poland,Krakow's Rynek Glowny Central Square,5.0,"The square itself is surrounded by beautiful buildings and architecture, as well as great restaurants and bars. A concern is the welfare of the horses who are made to pull carriages full of tourists, some of them obviously looked in pain and unwell. Please do avoid the lady in traditional red Polish dress on the square, who will demand you take a picture with her, and will swear at you and demand money. Incredibly rude.
Read more",Oct 2021
Poland,Krakow's Rynek Glowny Central Square,5.0,"I can't say anything bad, cause there are no disadvantages of this place. I've been to many many places in the world and here... I'm staying.
Read more",Sep 2021
Poland,Krakow's Rynek Glowny Central Square,5.0,"Spacious, beautiful, enormous, fun, mesmerising, lot's to see and absorb, need to come here more than once for sure.
Read more",Oct 2021
Poland,Krakow's Rynek Glowny Central Square,5.0,"Can't believe it's unappreciated place. Cause it's really nice, the only thing I don't like are horses at the square.
Read more",Sep 2021
Poland,Krakow's Rynek Glowny Central Square,5.0,"Nice to see there many attractions such as bars, clubs and many more. Can't wait to come back there!
Read more",Sep 2021
Poland,Krakow's Rynek Glowny Central Square,5.0,"This is one of the most gorgeous places to visit in Europe. The massive square has some impressive buildings and a lot of history and the outer edge is surrounded with cafes and bars. Being Europe, this doesn't mean noisy, drunken morons but people out for food, coffee and a social time. There are families out together and the whole area is very safe, especially as there is a tourist police station there. Horse drawn carriages will take you on a tour of the old city and the area is incredibly clean. In the early morning the square is almost empty other than cleaners so it is a lovely time for photos.
Read more",Sep 2021
Poland,Krakow's Rynek Glowny Central Square,5.0,"It's among best historical places to visit. It's clean with good environment for sitting and enjoying fresh air. Arounded with cafes and restaurants. It was a nice walk.
Read more",Jun 2021
Poland,Krakow's Rynek Glowny Central Square,5.0,"It is clean and very historical with lots of cafes we sat and people watched with a soft drink and no one rushed us
Read more",Sep 2021
Poland,Krakow's Rynek Glowny Central Square,5.0,"Beautiful landscapes, buildings, taxis horse drawn carriages so really magical. Were in Krakow so when all lit up for Xmas you know about it.
Read more",Dec 2020
